引用: 改訂5版 化学便覧 基礎編Ⅰ 63㌻ / 丸善 / 2004年

H	2.79E10
He	2.72E9
Li	57.1
Be	0.73
B	21.2
C	1.01E7
N	3.13E6
O	2.38E7
F	843
Ne	3.44E6
Na	5.74E4
Mg	1.074E6
Al	8.49E4
Si	1.00E6
P	1.04E4
S	5.15E5
Cl	5240
Ar	1.04E5
K	3770
Ca	6.11E4
Sc	33.8
Ti	2400
V	295
Cr	1.34E4
Mn	9510
Fe	9.00E5
Co	2250
Ni	4.93E4
Cu	522
Zn	1260
Ga	37.8
Ge	119
As	6.56
Se	62.1
Br	11.8
Kr	45
Rb	7.09
Sr	23.5
Y	4.64
Zr	11.4
Nb	0.698
Mo	2.55
Tc	-
Ru	1.86
Rh	0.344
Pd	1.39
Ag	0.486
Cd	1.61
In	0.184
Sn	3.82
Sb	0.309
Te	4.81
I	0.90
Xe	4.7
Cs	0.372
Ba	4.49
La	0.4460
Ce	1.136
Pr	0.1669
Nd	0.8279
Pm	-
Sm	0.2582
Eu	0.0973
Gd	0.3300
Tb	0.0603
Dy	0.3942
Ho	0.0889
Er	0.2508
Tm	0.0378
Yb	0.2479
Lu	0.0367
Hf	0.154
Ta	0.0207
W	0.133
Re	0.0517
Os	0.675
Ir	0.661
Pt	1.34
Au	0.187
Hg	0.34
Tl	0.184
Pb	3.15
Bi	0.144
Po	-
At	-
Rn	-
Fr	-
Ra	-
Ac	-
Th	0.0335
Pa	-
U	0.0090
